#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
86,STEFAN NIKOLIC,CRE,30,23.9,9.3,3.5,6.7,0.522,1.1,2.7,0.413,1.2,1.6,0.714,1.1,2.7,3.7,1.3,0.8,0.2,0.9,1.7,65,0.625,0.604,164.9,5.6,14.8,10.1,10.0,10.8,1.8,0.8,17.3,-0.1,1.4,121.1,116.7,4.4,215.9,15.8,718.0,G,55,1,0,0,0,0,0,0,25,0,0.172,1.4,0.9,0.2,9,21,0.3,1.4,0.6,2.0,VANOLI CREMONA
87,AKWASI ABEYIE YEBOAH,TRA,32,20.4,9.1,3.2,6.3,0.502,1.4,3.3,0.434,1.3,1.6,0.82,0.9,2.8,3.8,1.5,0.7,0.2,0.9,2.5,55,0.647,0.616,175.6,5.8,18.2,11.9,10.7,11.4,1.9,1.0,17.7,0.3,1.4,127.0,109.7,17.3,224.8,16.6,654.0,SF,121,0,0,0,0,0,0,0,21,0,0.14,1.6,0.8,0.2,22,10,0.688,1.7,1.2,2.9,2B CONTROL TRAPANI
88,JAYCE JOHNSON,TRIE,33,19.5,9.1,3.5,6.1,0.582,0.0,0.0,0.0,2.0,3.6,0.555,3.1,3.5,6.6,0.7,0.2,0.5,1.3,2.2,22,0.592,0.582,113.7,20.0,21.5,20.8,6.5,14.5,0.4,2.6,21.3,-4.2,1.5,119.3,114.3,5.1,262.1,19.6,642.0,C,6,4,0,0,0,0,0,0,19,0,0.14,0.6,0.1,0.6,18,15,0.545,1.4,0.8,2.2,PALLACANESTRO TRIESTE 2004
89,LUKA BRAJKOVIC,PIS,8,19.5,8.9,3.8,6.4,0.588,0.0,0.4,0.0,1.4,2.0,0.688,2.1,4.3,6.4,0.5,0.5,1.3,0.8,2.8,14,0.612,0.588,127.6,12.1,22.5,17.5,5.0,9.4,1.3,6.3,18.9,-2.1,1.4,120.9,100.0,20.8,70.3,20.9,156.0,F,58,1,0,0,0,0,0,1,18,0,0.151,0.7,0.7,0.3,3,5,0.375,0.3,0.5,0.8,GEORGIO TESI GROUP PISTOIA
90,JOHN PETRUCELLI,TRA,34,23.3,8.9,3.1,6.5,0.48,1.0,2.8,0.344,1.6,2.2,0.737,0.5,1.6,2.1,2.3,1.4,0.1,0.9,2.9,104,0.591,0.554,156.0,2.9,9.0,5.9,14.3,11.2,3.1,0.6,16.4,2.5,1.4,121.7,110.9,10.8,213.8,14.1,793.0,G,131,0,0,0,0,0,0,0,20,0,0.162,2.5,1.4,0.3,23,11,0.676,1.5,1.3,2.8,2B CONTROL TRAPANI
91,MARCO BELINELLI,BOL,38,16.5,8.8,3.0,6.3,0.477,1.5,3.7,0.394,1.3,1.6,0.817,0.1,1.0,1.1,0.9,0.3,0.0,0.8,1.3,88,0.626,0.593,168.8,1.2,7.5,4.6,10.1,10.4,1.0,0.0,23.4,-1.3,1.4,116.8,114.1,2.7,154.8,14.8,626.0,G,180,0,0,0,0,0,0,0,23,0,0.134,1.1,0.4,0.2,30,8,0.789,1.1,0.8,1.8,VIRTUS BOLOGNA
92,EIGIRDAS ZUKAUSKAS,TREN,27,18.4,8.7,3.0,7.2,0.421,2.0,5.1,0.387,0.6,0.7,0.85,0.6,1.9,2.4,0.9,0.4,0.0,0.7,1.7,114,0.574,0.556,165.7,3.8,12.0,8.0,7.9,8.9,1.3,0.2,20.6,-0.7,1.2,117.2,110.2,7.0,128.3,13.6,498.0,GF,62,0,0,0,0,0,0,0,22,0,0.124,1.3,0.6,0.1,20,7,0.741,0.8,0.9,1.7,DOLOMITI ENERGIA TRENTO
93,ISMAEL KAMAGATE,TORT,30,20.8,8.5,3.6,5.9,0.61,0.0,0.0,0.0,1.3,1.9,0.714,3.2,3.2,6.4,0.7,0.3,1.2,1.3,2.2,19,0.635,0.61,132.4,18.0,19.8,18.8,5.8,16.2,0.9,5.9,17.6,-4.0,1.4,123.3,113.3,10.0,263.8,20.0,624.0,C,10,4,0,0,0,0,0,0,23,0,0.141,0.5,0.3,0.3,15,15,0.5,1.5,0.8,2.3,BERTRAM TORTONA
94,TAJION JONES,CRE,24,22.4,8.4,3.0,6.9,0.434,1.5,3.8,0.396,0.9,1.2,0.786,0.9,2.1,3.0,1.3,0.6,0.0,0.3,2.5,105,0.566,0.542,161.5,5.1,12.3,8.6,10.4,3.8,1.6,0.2,17.1,2.5,1.2,122.1,114.2,7.8,135.5,14.1,538.0,G,160,0,0,0,0,0,0,0,29,0,0.155,4.3,2.1,0.2,8,16,0.333,1.1,0.6,1.7,VANOLI CREMONA
95,JEFF BROOKS,TRIE,32,26.0,8.4,3.4,6.0,0.576,0.7,1.8,0.368,0.9,1.3,0.683,2.3,3.7,5.9,1.2,0.7,0.2,0.7,1.4,58,0.643,0.631,162.7,10.9,17.0,14.0,7.3,9.1,1.4,0.6,12.8,0.5,1.4,137.0,114.7,22.3,292.9,16.3,833.0,PF,19,3,0,0,0,0,0,0,21,0,0.151,1.8,1.0,0.2,18,14,0.563,2.4,0.9,3.3,PALLACANESTRO TRIESTE 2004
