#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
101,TYRELL TERRY,CSP,2,22.5,8.0,2.0,6.0,0.333,1.0,3.0,0.333,3.0,3.0,1.0,0.0,1.5,1.5,1.5,0.0,0.0,2.0,0.5,177,0.546,0.417,166.7,0.0,10.1,4.7,12.7,21.5,0.0,0.0,19.9,-4.6,1.3,99.1,116.6,-17.5,5.5,8.5,45.0,PG,195,0,0,0,0,0,0,0,16,0,0.143,0.8,0.0,0.5,1,1,0.5,0.0,0.0,0.0,CSP LIMOGES
102,MATHEO LERAY,ULR,27,27.3,7.9,2.7,7.4,0.367,1.3,4.3,0.302,1.2,1.9,0.635,0.2,3.2,3.4,6.4,1.6,0.1,3.1,2.1,148,0.482,0.455,130.3,1.0,14.9,7.9,44.4,27.5,3.2,0.4,20.7,4.2,1.1,89.9,110.3,-20.4,222.5,10.9,738.0,PG,23,1,0,0,0,0,0,0,35,0,0.362,2.1,0.5,0.3,4,23,0.148,-1.6,1.2,-0.4,UNION LA ROCHELLE
103,KEVIN KOKILA,JLB,35,19.1,7.8,2.7,4.6,0.581,0.0,0.0,0.0,2.5,3.4,0.746,2.0,2.3,4.3,0.7,0.5,0.7,1.2,3.7,64,0.646,0.581,132.7,13.2,15.6,14.4,6.0,16.2,1.4,3.9,17.4,-3.6,1.7,124.0,112.8,11.2,200.3,16.5,667.5,FC,59,0,0,0,0,0,0,0,16,0,0.11,0.6,0.4,0.7,20,15,0.571,1.6,0.9,2.5,JL BOURG-EN-BRESSE
104,KENNY BAPTISTE,CSP,28,24.8,7.8,3.1,6.6,0.473,0.4,1.4,0.275,1.2,1.8,0.667,1.7,2.6,4.3,1.6,0.9,0.5,1.1,2.4,123,0.53,0.503,141.4,8.4,13.7,11.0,11.3,13.4,2.0,2.2,16.6,-0.4,1.2,107.1,113.6,-6.5,181.4,12.6,695.2,G,94,0,0,0,0,0,0,0,17,0,0.166,1.4,0.8,0.3,9,19,0.321,0.3,0.8,1.0,CSP LIMOGES
105,WILLIAM NARACE,LEM,31,18.6,7.8,2.9,6.7,0.435,0.5,2.5,0.211,1.5,2.8,0.523,1.4,1.8,3.2,0.6,0.5,0.4,1.5,2.5,158,0.492,0.473,116.8,9.3,12.9,11.0,5.7,15.8,1.3,2.6,23.0,-5.6,1.2,97.1,114.6,-17.4,101.0,10.2,576.0,GF,56,0,0,0,0,0,0,0,18,0,0.115,0.4,0.3,0.4,18,13,0.581,-0.6,0.6,0.0,LE MANS SARTHE BASKET
106,NOAH KIRKWOOD,SQB,25,21.0,7.8,3.0,7.0,0.426,1.2,3.5,0.352,0.6,1.0,0.56,0.7,2.5,3.2,2.9,0.9,0.2,2.0,2.6,128,0.521,0.514,133.8,4.1,16.2,9.9,25.8,20.8,2.4,1.5,21.7,-0.1,1.1,100.7,110.0,-9.3,137.4,12.2,525.4,F,136,0,0,0,0,0,0,0,21,0,0.217,1.5,0.4,0.1,11,14,0.44,-0.3,0.9,0.6,SAINT-QUENTIN BASKETBALL
107,VITTO BROWN,ASM,20,17.1,7.7,2.7,5.1,0.52,1.4,2.8,0.5,1.0,1.2,0.87,1.1,1.6,2.7,0.7,0.2,0.3,0.8,2.0,52,0.687,0.657,188.9,9.0,11.7,10.4,6.7,12.5,0.7,2.0,18.3,-2.2,1.5,130.0,107.2,22.7,102.4,17.1,342.0,F,130,0,0,0,0,0,0,0,18,0,0.109,0.8,0.3,0.2,16,4,0.8,1.0,0.7,1.7,AS MONACO BASKET
108,ADMIRAL SCHOFIELD,LYV,6,14.3,7.7,2.5,4.5,0.556,1.8,3.3,0.55,0.8,1.2,0.714,0.0,1.8,1.8,0.7,0.5,0.3,0.5,2.7,18,0.765,0.759,182.0,0.0,14.5,8.3,9.2,9.1,1.9,2.5,19.3,-0.4,1.7,134.7,104.7,30.0,29.4,20.3,86.0,SF,62,0,0,0,0,0,0,0,16,0,0.109,1.3,1.0,0.3,4,2,0.667,0.3,0.2,0.5,ASVEL BASKET
109,JAKUB NIZIOL,ULR,21,21.5,7.7,2.6,6.3,0.406,1.0,3.7,0.286,1.5,2.2,0.66,0.3,2.2,2.5,1.9,0.4,0.1,1.2,1.9,162,0.524,0.489,135.1,2.1,13.7,7.8,18.0,14.5,1.1,0.5,20.9,0.2,1.2,96.3,118.0,-21.7,90.1,10.0,451.0,F,112,0,0,0,0,0,0,0,16,0,0.176,1.5,0.3,0.4,2,19,0.095,-0.5,0.2,-0.2,UNION LA ROCHELLE
110,PHIL BOOTH,DIJ,27,19.8,7.6,2.7,5.3,0.507,0.9,2.1,0.421,1.3,1.7,0.739,0.3,2.0,2.3,1.9,0.4,0.1,1.4,2.2,138,0.621,0.59,166.7,2.0,12.7,7.5,15.4,18.4,1.2,0.4,18.4,-0.7,1.4,108.1,115.8,-7.7,123.5,11.6,533.7,G,170,0,0,0,0,0,0,0,16,0,0.154,1.4,0.3,0.3,15,12,0.556,0.3,0.5,0.7,JDA DIJON BASKET
111,NEMANJA NENADIC,CHA,8,19.9,7.5,2.4,6.4,0.373,1.4,2.9,0.478,1.4,2.1,0.647,0.4,2.0,2.4,2.9,0.9,0.0,1.9,2.0,144,0.513,0.48,149.8,2.6,13.6,8.2,25.1,20.4,2.4,0.0,22.8,0.2,1.2,97.1,118.8,-21.7,37.4,11.1,159.0,G,69,0,0,0,0,0,0,0,14,0,0.179,1.5,0.5,0.3,1,7,0.125,-0.1,0.0,-0.1,CHALON-SUR-SAONE
