#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
133,ROBERT JURKOVIC,KRK,28,15.0,6.3,2.4,4.2,0.573,0.6,1.3,0.432,1.0,1.3,0.771,0.6,1.5,2.1,0.3,0.3,0.3,0.7,2.7,105,0.668,0.641,177.7,5.2,13.1,9.1,3.9,13.1,1.2,1.6,17.9,-3.4,1.5,118.4,119.5,-1.0,90.9,14.3,420.9,F,183,0,0,0,0,0,0,0,14,0,0.093,0.5,0.5,0.3,4,24,0.143,0.7,0.2,0.8,KRKA NOVO MESTO
134,ALEKSEJ POKUSEVSKI,PAR,35,15.2,6.3,2.4,4.5,0.532,0.7,1.8,0.359,0.8,1.2,0.707,0.7,2.3,3.1,1.2,0.4,0.7,0.7,1.6,29,0.625,0.604,159.8,6.7,20.3,13.6,12.6,12.4,1.4,5.6,18.2,0.7,1.4,125.2,105.3,19.9,203.1,19.7,533.4,C,86,0,0,0,0,0,0,0,21,0,0.112,1.7,0.5,0.3,29,6,0.829,1.4,1.2,2.7,KK PARTIZAN
135,DEVANTE' JONES,COL,31,17.5,6.3,2.1,4.6,0.458,0.7,1.7,0.396,1.3,1.7,0.788,0.5,1.5,2.1,3.5,0.6,0.0,1.6,2.5,113,0.581,0.531,164.3,4.1,11.3,7.7,32.2,23.4,1.9,0.0,19.1,3.7,1.3,111.8,110.3,1.5,154.8,14.0,543.8,G,188,0,0,0,0,0,0,0,18,0,0.188,2.1,0.4,0.4,19,12,0.613,0.6,0.9,1.5,KK CEDEVITA OLIMPIJA LJUBLJANA
136,KENDALL ROBINSON,KRK,11,13.8,6.2,2.4,4.5,0.52,0.5,1.9,0.238,1.0,1.4,0.733,0.8,1.6,2.5,0.3,0.5,0.5,0.8,1.7,77,0.601,0.57,149.1,7.9,15.6,11.8,3.6,13.7,1.8,3.4,21.4,-4.7,1.4,108.0,117.1,-9.1,41.9,15.8,151.6,F,33,1,0,0,0,0,0,0,17,0,0.09,0.3,0.6,0.3,1,10,0.091,0.1,0.1,0.2,KRKA NOVO MESTO
137,ANTONIO SIKIRIC,SPL,10,17.2,6.1,2.2,4.7,0.468,0.9,2.6,0.346,0.8,1.0,0.8,1.0,0.8,1.8,0.4,0.3,0.3,0.6,1.1,118,0.593,0.564,161.4,7.1,6.9,7.0,4.1,10.5,1.0,2.1,16.8,-2.1,1.3,117.3,120.6,-3.3,36.5,13.5,171.9,F,164,0,0,0,0,0,0,0,14,0,0.094,0.7,0.5,0.2,3,7,0.3,0.3,0.0,0.3,KK SPLIT
138,MIKE DAUM,ZVE,21,13.5,6.1,2.4,4.3,0.556,0.6,1.4,0.414,0.8,1.0,0.8,0.7,1.6,2.3,0.5,0.4,0.2,0.5,1.0,41,0.648,0.622,176.9,6.9,15.8,11.3,6.0,9.2,1.7,1.5,18.4,-1.2,1.4,124.4,109.9,14.5,95.5,18.1,283.0,F,162,0,0,0,0,0,0,0,18,0,0.093,1.0,0.9,0.2,18,3,0.857,0.7,0.5,1.1,KK CRVENA ZVEZDA
139,AHMET DUVERIOGLU,DUB,34,13.1,6.1,2.5,4.1,0.616,0.0,0.1,0.0,1.1,1.9,0.561,1.6,2.5,4.1,0.8,0.5,0.5,1.1,3.3,25,0.62,0.616,117.7,16.5,23.6,20.2,10.6,17.7,2.2,4.4,22.0,-4.2,1.5,115.6,103.9,11.7,165.8,20.0,444.0,C,199,0,0,0,0,0,0,0,18,0,0.11,0.7,0.5,0.5,26,8,0.765,0.8,1.1,1.9,DUBAI
140,EMIR HADZIBEGOVIC,STU,29,19.8,6.0,2.4,5.1,0.463,0.8,2.4,0.314,0.5,1.0,0.536,0.8,3.1,4.0,0.8,0.3,0.0,1.3,2.7,187,0.542,0.537,131.3,5.1,20.8,12.7,6.2,19.1,0.8,0.0,16.2,-4.0,1.2,98.0,118.5,-20.5,99.0,8.2,575.6,F,135,0,0,0,0,0,0,0,15,0,0.105,0.6,0.2,0.2,11,18,0.379,-0.4,0.3,-0.1,STUDENSKI CENTAR PODGORICA
141,ILIJA DOKOVIC,MOR,18,19.8,6.0,1.9,5.6,0.337,1.4,3.8,0.368,0.8,1.2,0.714,0.3,1.5,1.8,3.4,0.4,0.0,0.9,2.5,172,0.49,0.46,141.9,1.6,10.9,5.7,30.6,13.4,1.0,0.0,16.9,6.4,1.1,105.6,128.3,-22.7,78.1,9.8,356.6,PG,169,0,0,0,0,0,0,0,15,0,0.199,3.6,0.4,0.2,1,17,0.056,0.1,-0.3,-0.2,KK MORNAR
142,MARTIN GEBEN,COL,13,10.8,5.9,2.3,3.7,0.625,0.6,1.2,0.533,0.7,0.8,0.9,0.8,1.4,2.2,0.3,0.8,0.4,0.7,3.2,12,0.735,0.708,205.8,9.6,16.8,13.3,5.4,14.7,3.8,3.8,21.1,-4.5,1.6,129.2,105.3,23.9,49.8,22.8,140.9,C,79,0,0,0,0,0,0,0,11,0,0.088,0.4,1.1,0.2,7,6,0.538,0.5,0.3,0.8,KK CEDEVITA OLIMPIJA LJUBLJANA
