#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
182,JAVIER VEGA,ICE,34,17.5,4.5,1.6,4.6,0.335,0.9,3.0,0.284,0.5,0.6,0.857,0.7,1.4,2.1,0.7,0.1,0.2,0.7,1.1,219,0.457,0.427,147.7,5.2,10.4,7.7,6.8,13.0,0.4,1.0,15.8,-1.5,1.0,95.0,118.7,-23.7,78.6,6.8,596.1,FC,180,0,0,0,0,0,0,0,17,0,0.082,1.0,0.2,0.1,13,21,0.382,-0.4,0.0,-0.4,GRUPO ALEGA CANTABRIA
183,POL MOLINS,MEN,32,11.5,4.5,1.6,4.0,0.388,0.4,1.5,0.292,0.9,1.2,0.811,0.3,0.8,1.0,0.6,0.4,0.0,0.8,2.0,200,0.496,0.442,149.0,2.9,8.3,5.5,9.9,15.2,1.9,0.0,22.7,-4.0,1.1,96.4,111.0,-14.5,32.9,9.1,366.6,G,192,0,0,0,0,0,0,0,13,0,0.083,0.7,0.5,0.3,11,21,0.344,-0.3,0.4,0.1,HESTIA MENORCA
184,MANUEL RODRIGUEZ,PAL,34,12.7,4.5,1.4,3.5,0.395,1.0,2.4,0.413,0.7,0.9,0.833,0.2,0.7,0.9,0.6,0.4,0.1,0.3,1.8,152,0.575,0.534,164.1,2.1,7.7,4.9,6.9,6.4,1.9,0.5,15.4,1.0,1.3,124.3,113.3,11.0,74.3,11.8,433.3,SG,233,0,0,0,0,0,0,0,19,0,0.063,2.2,1.7,0.3,21,13,0.618,1.0,0.4,1.4,ZUNDER PALENCIA
185,JAVIER MENENDEZ,CAS,33,14.7,4.5,1.8,4.4,0.403,0.2,0.8,0.25,0.7,1.0,0.727,1.8,2.4,4.2,0.7,0.4,0.2,0.8,1.3,143,0.464,0.427,138.0,14.2,18.5,16.4,8.0,14.1,1.5,1.4,17.3,-2.2,1.0,100.4,112.8,-12.4,140.1,12.4,485.1,PF,103,0,0,0,0,0,0,0,23,0,0.087,0.8,0.5,0.2,9,24,0.273,-0.1,0.4,0.4,AMICS CASTELLO
186,RAMON VILA,TIZ,37,12.8,4.3,1.9,3.1,0.595,0.0,0.1,0.0,0.6,1.1,0.55,0.9,1.5,2.4,0.5,0.2,0.1,0.8,1.7,150,0.599,0.595,114.5,8.7,15.0,11.8,6.9,17.3,0.9,0.7,15.1,-2.9,1.4,111.9,117.5,-5.6,106.0,12.0,474.9,C,114,0,0,0,0,0,0,0,10,0,0.079,0.7,0.3,0.3,15,22,0.405,0.5,0.1,0.7,GRUPO URETA TIZONA BURGOS
187,VLADYSLAV VOYTSO,ICE,32,15.9,4.3,1.4,3.9,0.355,0.9,2.8,0.319,0.7,0.8,0.808,0.6,1.1,1.7,0.7,0.5,0.1,0.6,2.5,211,0.509,0.472,148.1,4.5,8.9,6.7,7.7,12.9,1.7,0.8,15.0,-0.9,1.1,103.7,117.1,-13.4,63.0,8.2,508.8,PF,165,0,0,0,0,0,0,0,13,0,0.077,1.2,0.8,0.2,11,21,0.344,0.1,0.1,0.3,GRUPO ALEGA CANTABRIA
188,MARTIN FERNANDEZ,OUR,31,8.7,4.3,1.5,2.8,0.547,0.1,0.4,0.308,1.1,1.4,0.795,0.2,0.8,1.0,0.3,0.2,0.0,0.7,0.7,82,0.631,0.57,165.0,2.8,11.8,7.4,6.6,16.6,1.4,0.0,22.0,-5.3,1.5,113.6,116.1,-2.5,62.5,15.6,270.9,SG,99,0,0,0,0,0,0,0,14,0,0.063,0.5,0.3,0.5,14,17,0.452,0.5,0.1,0.6,CLUB OURENSE BALONCESTO
189,DIMITAR DIMITROV,PAL,35,13.2,4.3,1.5,3.9,0.378,0.6,1.8,0.339,0.7,0.9,0.813,0.7,1.5,2.1,0.5,0.3,0.1,0.5,1.7,181,0.5,0.456,152.9,6.9,14.6,10.8,6.0,11.3,1.2,1.2,17.1,-1.4,1.1,107.1,110.9,-3.8,83.0,10.2,463.1,F,224,0,0,0,0,0,0,0,11,0,0.063,1.0,0.5,0.2,23,12,0.657,0.3,0.6,0.8,ZUNDER PALENCIA
190,ARNAUD MOTO,CAS,33,14.6,4.2,1.4,4.2,0.328,0.7,2.7,0.273,0.8,1.2,0.684,0.6,2.3,2.9,0.7,0.5,0.0,1.0,1.6,215,0.455,0.416,128.5,4.8,18.3,11.6,7.7,17.7,1.6,0.2,17.7,-3.6,1.0,87.9,112.8,-24.8,78.8,7.1,481.0,F,155,0,0,0,0,0,0,0,13,0,0.073,0.7,0.5,0.3,10,23,0.303,-0.8,0.4,-0.4,AMICS CASTELLO
191,JONATHAN KASIBABU,BETIS,41,14.8,4.2,1.4,3.0,0.484,0.1,0.3,0.25,1.2,2.0,0.63,1.7,1.9,3.6,0.6,0.4,0.1,1.3,2.2,170,0.546,0.496,136.3,15.5,14.8,15.1,7.0,24.8,1.6,0.9,16.9,-5.8,1.4,103.0,106.5,-3.5,127.9,10.9,608.1,C,65,0,0,0,0,0,0,0,13,0,0.072,0.5,0.3,0.7,31,10,0.756,0.1,1.1,1.2,REAL BETIS BALONCESTO
