#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
45,MYLES HESSON,NEP,26,24.2,10.2,3.4,8.2,0.415,1.3,3.7,0.358,2.1,2.7,0.761,0.8,2.2,2.9,2.0,1.2,0.3,2.0,3.0,97,0.543,0.495,153.4,4.1,11.8,7.9,13.9,17.6,2.7,1.5,21.7,-2.8,1.2,102.6,117.0,-14.3,142.9,11.1,630.4,F,116,0,0,0,0,0,0,0,21,0,0.183,1.0,0.6,0.3,8,18,0.308,-0.4,0.8,0.3,NEPTUNAS
46,ALEN SMAILAGIC,ZAL,39,17.5,10.1,3.6,6.1,0.591,1.2,2.8,0.422,1.7,2.2,0.8,1.4,2.0,3.4,0.8,0.4,0.4,0.7,2.3,6,0.718,0.688,181.3,11.5,14.9,13.3,7.9,9.6,1.4,2.5,21.9,-1.2,1.7,140.9,106.4,34.5,289.4,23.0,681.9,PF,20,2,0,0,0,0,0,0,23,0,0.137,1.1,0.6,0.4,35,4,0.897,3.1,1.8,4.9,ZALGIRIS
47,DORDE GAGIC,TEC,32,19.8,10.0,3.8,7.0,0.547,0.0,0.0,0.0,2.4,3.3,0.731,1.5,3.4,4.9,1.8,0.4,0.3,2.4,3.0,57,0.595,0.547,127.8,10.1,22.7,16.4,17.2,22.3,1.1,1.6,25.5,-6.0,1.4,105.1,109.9,-4.8,200.5,14.7,635.0,C,38,1,0,0,0,0,0,0,21,0,0.193,0.8,0.2,0.5,19,13,0.594,-0.3,1.4,1.1,7BET-LIETKABELIS PANEVEZYS
48,JEFFERY TAYLOR,WOLV,32,23.1,9.8,3.4,7.7,0.437,1.2,3.1,0.398,1.9,2.6,0.723,1.2,2.0,3.3,1.8,1.2,0.2,1.1,2.4,61,0.556,0.516,155.8,7.2,11.6,9.4,13.2,10.7,2.9,0.9,20.4,0.5,1.3,117.0,120.5,-3.5,215.4,14.4,739.9,SF,59,0,0,0,0,0,0,0,19,0,0.178,1.6,1.1,0.3,14,18,0.438,0.9,0.6,1.5,WOLVES TWINSBET VILNIUS
49,TRE'SHAWN THURMAN,WOLV,36,20.6,9.8,3.2,7.3,0.439,1.3,4.0,0.336,2.1,2.5,0.835,0.8,2.4,3.2,1.3,0.5,0.5,1.5,3.1,85,0.586,0.531,161.0,5.0,15.3,10.2,10.5,15.4,1.3,2.9,22.7,-3.3,1.4,111.3,120.7,-9.4,188.6,12.8,740.8,F,71,0,0,0,0,0,0,0,21,0,0.15,0.8,0.3,0.3,19,17,0.528,0.4,0.6,0.9,WOLVES TWINSBET VILNIUS
50,SAULIUS KULVIETIS,SIA,37,26.4,9.8,3.3,7.5,0.437,1.7,4.5,0.388,1.5,1.6,0.9,0.6,2.4,3.1,3.0,0.5,0.1,1.8,2.8,105,0.593,0.552,172.5,3.3,12.1,7.7,16.9,17.8,1.0,0.6,17.2,0.8,1.3,113.9,125.9,-12.0,237.8,10.7,977.4,F,140,0,0,0,0,0,0,0,18,0,0.195,1.7,0.3,0.2,14,23,0.378,0.7,0.1,0.8,SIAULIAI
51,MATAS JOGELA,WOLV,23,19.8,9.6,3.6,6.9,0.516,1.4,3.4,0.41,1.1,1.3,0.806,1.0,2.7,3.6,1.9,0.7,0.1,1.2,1.7,42,0.64,0.616,173.2,7.0,16.9,12.3,17.0,14.0,1.8,0.7,21.0,0.3,1.4,123.0,121.1,1.9,172.9,17.0,454.7,F,50,0,0,0,0,0,0,0,26,0,0.183,1.6,0.5,0.2,13,10,0.565,0.9,0.3,1.3,WOLVES TWINSBET VILNIUS
52,LAURYNAS BIRUTIS,ZAL,46,17.9,9.5,4.0,5.3,0.746,0.0,0.0,0.0,1.5,2.5,0.617,1.8,3.2,5.0,1.0,0.3,0.7,0.7,2.1,1,0.738,0.746,136.3,14.2,23.0,18.8,9.5,9.2,1.0,4.1,19.4,0.0,1.8,145.4,103.2,42.3,415.9,25.3,824.3,C,11,3,0,0,0,0,0,0,18,0,0.154,1.5,0.5,0.5,42,4,0.913,4.0,2.5,6.5,ZALGIRIS
53,JUSTINAS JOGMINAS,MAZ,19,20.4,9.3,3.9,7.1,0.56,0.2,0.9,0.222,1.2,2.6,0.469,1.7,2.7,4.4,1.5,1.3,0.3,1.1,1.4,27,0.569,0.575,125.1,9.9,18.2,13.8,14.3,11.9,3.3,1.5,21.1,-0.4,1.3,112.7,124.2,-11.5,154.1,18.3,387.4,F,67,0,0,0,0,0,0,0,19,0,0.189,1.4,1.1,0.4,1,18,0.053,0.3,0.1,0.4,MAZEIKIAI
54,DOVIS BICKAUSKIS,TEC,46,23.5,9.3,2.8,6.7,0.423,1.2,3.3,0.371,2.4,3.0,0.786,0.6,1.6,2.1,3.3,1.4,0.1,1.5,2.5,62,0.576,0.513,157.9,3.2,9.0,6.0,23.5,15.7,3.2,0.4,19.1,3.2,1.4,117.5,110.6,6.9,318.0,14.3,1079.8,G,114,0,0,0,0,0,0,0,20,0,0.213,2.2,0.9,0.5,26,20,0.565,1.4,2.2,3.6,7BET-LIETKABELIS PANEVEZYS
