#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
63,IGOR VOLKHIN,NIZ,14,24.8,8.4,2.8,7.2,0.386,1.2,4.6,0.266,1.6,2.0,0.821,0.9,3.6,4.5,1.0,0.6,0.5,1.0,2.1,118,0.521,0.47,147.3,5.0,19.7,12.3,7.0,11.0,1.4,2.2,17.6,-1.4,1.2,106.9,108.8,-1.8,83.3,11.3,346.5,PF,108,0,0,0,0,0,0,0,26,0,0.137,1.0,0.6,0.3,7,7,0.5,0.3,0.4,0.7,NIZHNY NOVGOROD
64,ILYA POPOV,URAL,15,16.5,8.4,3.1,5.1,0.61,0.0,0.1,0.0,2.1,3.6,0.593,1.9,1.8,3.7,1.0,0.6,0.1,1.7,2.3,41,0.625,0.61,120.3,14.7,13.1,13.9,12.8,20.5,1.9,0.8,24.1,-6.4,1.6,108.1,114.4,-6.3,79.3,16.8,247.6,C,181,0,0,0,0,0,0,0,26,0,0.156,0.6,0.3,0.7,7,8,0.467,0.3,0.1,0.4,URALMASH
65,VLADISLAV TRUSHKIN,MBA,46,25.9,8.3,3.0,7.8,0.389,1.6,4.5,0.353,0.7,0.9,0.75,1.2,3.1,4.3,2.1,1.0,0.6,1.4,2.7,110,0.507,0.49,149.2,5.9,16.0,10.8,15.3,14.5,2.2,2.5,17.7,0.1,1.1,102.0,109.6,-7.6,309.3,11.9,1190.0,PF,72,0,0,0,0,0,1,1,29,0,0.197,1.5,0.8,0.1,16,30,0.348,0.3,1.3,1.6,MBA MOSCOW
66,KARVEL ANDERSON,LOK,22,16.6,8.3,2.7,6.7,0.401,1.9,4.5,0.42,1.0,1.1,0.917,0.5,1.6,2.2,0.9,0.5,0.0,0.7,1.3,78,0.578,0.544,173.8,4.2,11.7,8.1,8.2,9.2,1.4,0.0,21.2,-0.9,1.2,115.9,107.6,8.3,100.3,14.3,365.6,G,88,0,0,0,0,0,0,0,20,0,0.112,1.2,0.6,0.2,18,4,0.818,0.9,0.5,1.3,LOKOMOTIV KUBAN
67,SERGEY BALASHOV,ENI,43,21.8,8.2,3.1,5.3,0.588,0.0,0.1,0.333,2.0,2.7,0.754,2.1,2.8,4.9,1.7,0.4,0.3,1.7,2.3,48,0.639,0.591,167.6,11.9,16.6,14.2,15.1,21.1,1.1,1.5,17.8,-2.8,1.6,116.5,114.2,2.2,300.5,16.2,938.1,FC,10,3,0,0,0,0,0,0,20,0,0.182,1.0,0.2,0.5,13,30,0.302,2.1,0.4,2.5,ENISEY KRASNOYARSK
68,JAMES MURRAY-BOYLES,AST,6,22.5,7.8,2.7,6.3,0.421,0.8,1.3,0.625,1.7,2.0,0.833,1.0,2.7,3.7,1.0,0.8,0.0,0.7,2.3,96,0.543,0.487,187.9,5.2,15.9,10.2,10.3,8.5,2.1,0.0,18.1,0.0,1.2,107.9,128.8,-20.9,32.0,12.8,134.8,F,162,0,0,0,0,0,0,0,18,0,0.167,1.5,1.3,0.3,0,6,0.0,0.2,-0.3,-0.1,ASTANA TIGERS
69,OKARO WHITE,ZEN,30,20.2,7.7,1.9,5.3,0.367,1.2,3.2,0.385,2.6,3.4,0.782,0.8,2.6,3.4,0.9,0.7,0.2,0.6,2.6,82,0.573,0.484,153.5,5.0,15.3,10.3,7.4,7.7,1.8,1.0,17.4,0.3,1.5,122.5,106.1,16.4,155.4,14.0,606.6,F,119,0,0,0,0,0,0,0,17,0,0.099,1.6,1.2,0.6,23,7,0.767,1.6,1.0,2.6,ZENIT SAINT PETERSBURG
70,ISAIAH WHALEY,LOK,54,19.9,7.7,2.5,6.0,0.414,0.6,2.1,0.31,2.0,2.7,0.743,1.4,3.8,5.1,0.9,0.7,1.1,0.9,2.0,58,0.531,0.468,146.7,8.4,22.9,15.6,6.9,10.9,1.8,5.6,18.1,-1.5,1.3,111.6,98.5,13.1,384.8,15.6,1076.3,F,28,1,0,0,0,0,0,0,22,0,0.111,1.0,0.8,0.5,38,16,0.704,1.6,2.9,4.5,LOKOMOTIV KUBAN
71,ANTON ASTAPKOVICH,CSKA,57,21.0,7.6,2.6,5.4,0.476,1.2,2.8,0.449,1.2,1.4,0.897,0.9,2.8,3.7,1.6,0.8,0.2,1.1,1.7,66,0.634,0.591,182.3,5.6,16.2,11.2,12.1,15.5,2.0,0.8,16.2,-0.1,1.4,121.4,101.1,20.4,377.3,15.0,1198.2,GF,107,0,0,0,0,0,0,0,18,0,0.138,1.5,0.7,0.3,48,9,0.842,2.9,2.9,5.8,CSKA MOSCOW
72,CHARLES MANNING JR.,AVT,24,23.2,7.6,2.9,6.8,0.429,0.9,2.6,0.355,0.9,1.1,0.778,0.4,1.8,2.2,2.2,1.1,0.3,1.6,2.6,129,0.523,0.497,156.2,2.1,10.3,6.1,17.2,18.2,2.5,1.6,18.0,-0.7,1.1,98.6,109.5,-10.9,109.6,10.2,556.6,,114,0,0,0,0,0,0,0,24,0,0.189,1.4,0.7,0.2,11,13,0.458,-0.1,0.6,0.5,AVTODOR SARATOV
